"Fecha de Emisión";"Tipo de Comprobante";"Punto de Venta";"Número de Comprobante";"Número de Comprobante Hasta";"Tipo Doc. Comprador";"Nro. Doc. Comprador";"Denominación Comprador";"Fecha de Vencimiento del Pago";"Importe Total";"Moneda Original";"Tipo de Cambio";"Importe No Gravado";"Importe Exento";"Importe de Per. o Pagos a Cta. de Otros Imp. Nac.";"Importe de Percepciones de Ingresos Brutos";"Importe de Impuestos Municipales";"Percepción a No Categorizados";"Importe de Impuestos Internos";"Importe Otros Tributos";"Neto Gravado IVA 0%";"Neto Gravado IVA 2,5%";"Importe IVA 2,5%";"Neto Gravado IVA 5%";"Importe IVA 5%";"Neto Gravado IVA 10,5%";"Importe IVA 10,5%";"Neto Gravado IVA 21%";"Importe IVA 21%";"Neto Gravado IVA 27%";"Importe IVA 27%";"Total Neto Gravado";"Total IVA"
2023-06-01;1;1;434;434;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-06-01;1628256,99;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1345666,95;282590,06;;;1345666,95;282590,10
2023-06-01;1;1;433;433;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-06-01;1896675,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1567500,00;329175,00;;;1567500,00;329175,00
2023-06-01;1;1;435;435;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-06-01;781936,69;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;646228,67;135708,02;;;646228,67;135708,00
2023-06-28;1;1;445;445;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-06-28;219473,24;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;181382,86;38090,40;;;181382,86;38090,40
2023-06-04;1;1;436;436;80;30717809390;"ELEPRINT SA - INSA SA - TECMA SA PENITENCIARIA FLORENCIO VARELA U. T. E.";2023-06-04;1596797,43;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1319667,29;277130,13;;;1319667,29;277130,10
2023-06-04;1;1;439;439;80;30717809390;"ELEPRINT SA - INSA SA - TECMA SA PENITENCIARIA FLORENCIO VARELA U. T. E.";2023-06-04;2337766,40;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1932038,33;405728,05;;;1932038,33;405728,10
2023-06-04;1;1;437;437;80;30717809390;"ELEPRINT SA - INSA SA - TECMA SA PENITENCIARIA FLORENCIO VARELA U. T. E.";2023-06-04;2238500,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1850000,00;388500,00;;;1850000,00;388500,00
2023-06-04;1;1;438;438;80;30717809390;"ELEPRINT SA - INSA SA - TECMA SA PENITENCIARIA FLORENCIO VARELA U. T. E.";2023-06-04;402034,60;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;332260,00;69774,60;;;332260,00;69774,60
2023-06-06;1;1;440;440;80;30717809390;"ELEPRINT SA - INSA SA - TECMA SA PENITENCIARIA FLORENCIO VARELA U. T. E.";2023-06-06;5836724,19;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;4823739,00;1012985,19;;;4823739,00;1012985,20
2023-06-07;1;1;441;441;80;30717825531;"INSA S.A. - BASAA S.A. UNION TRANSITORIA - UP Nº29 MELCHOR ROMERO";2023-06-07;5836724,19;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;4823739,00;1012985,19;;;4823739,00;1012985,20
2023-06-07;3;1;39;39;80;30717809390;"ELEPRINT SA - INSA SA - TECMA SA PENITENCIARIA FLORENCIO VARELA U. T. E.";2023-06-07;-5836724,19;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;-4823739,00;-1012985,19;;;-4823739,00;-1012985,20
2023-06-16;1;1;442;442;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-06-16;1129383,75;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;933375,00;196008,75;;;933375,00;196008,80
2023-06-21;1;1;444;444;80;30717809390;"ELEPRINT SA - INSA SA - TECMA SA PENITENCIARIA FLORENCIO VARELA U. T. E.";2023-06-21;10556297,61;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;8724212,90;1832084,71;;;8724212,90;1832084,70
2023-06-21;1;1;443;443;80;30717809390;"ELEPRINT SA - INSA SA - TECMA SA PENITENCIARIA FLORENCIO VARELA U. T. E.";2023-06-21;1402596,69;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1159170,81;243425,87;;;1159170,81;243425,90
2023-06-21;3;1;40;40;80;30717825531;"INSA S.A. - BASAA S.A. UNION TRANSITORIA - UP Nº29 MELCHOR ROMERO";2023-06-21;-10556297,61;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;-8724212,90;-1832084,71;;;-8724212,90;-1832084,70
2023-06-24;3;1;41;41;80;30717809390;"ELEPRINT SA - INSA SA - TECMA SA PENITENCIARIA FLORENCIO VARELA U. T. E.";2023-06-24;-10556297,61;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;-8724212,90;-1832084,71;;;-8724212,90;-1832084,70
2023-06-28;1;1;446;446;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-06-28;451753,50;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;373350,00;78403,50;;;373350,00;78403,50
